time, prob_0
7.810000,0.918388
7.820000,0.920581
7.830000,0.922764
7.840000,0.924935
7.850000,0.927094
7.860000,0.929240
7.870000,0.931371
7.880000,0.933486
7.890000,0.935584
7.900000,0.937665
7.910000,0.939727
7.920000,0.941769
7.930000,0.943790
7.940000,0.945789
7.950000,0.947765
7.960000,0.949718
7.970000,0.951645
7.980000,0.953547
7.990000,0.955422
8.000000,0.957269
8.010000,0.959088
8.020000,0.960877
8.030000,0.962635
8.040000,0.964363
8.050000,0.966058
8.060000,0.967720
8.070000,0.969348
8.080000,0.970942
8.090000,0.972500
8.100000,0.974022
8.110000,0.975506
8.120000,0.976953
8.130000,0.978362
8.140000,0.979732
8.150000,0.981061
8.160000,0.982350
8.170000,0.983598
8.180000,0.984804
8.190000,0.985968
8.200000,0.987088
8.210000,0.988166
8.220000,0.989199
8.230000,0.990187
8.240000,0.991130
8.250000,0.992028
8.260000,0.992880
8.270000,0.993685
8.280000,0.994444
8.290000,0.995155
8.300000,0.995819
8.310000,0.996435
8.320000,0.997002
8.330000,0.997521
8.340000,0.997992
8.350000,0.998413
8.360000,0.998785
8.370000,0.999108
8.380000,0.999381
8.390000,0.999605
8.400000,0.999778
8.410000,0.999902
8.420000,0.999976
8.430000,1.000000
8.440000,0.999974
8.450000,0.999898
8.460000,0.999772
8.470000,0.999596
8.480000,0.999370
8.490000,0.999095
8.500000,0.998770
8.510000,0.998395
8.520000,0.997972
8.530000,0.997499
8.540000,0.996978
8.550000,0.996408
8.560000,0.995790
8.570000,0.995125
8.580000,0.994411
8.590000,0.993651
8.600000,0.992843
8.610000,0.991989
8.620000,0.991089
8.630000,0.990144
8.640000,0.989154
8.650000,0.988119
8.660000,0.987039
8.670000,0.985917
8.680000,0.984751
8.690000,0.983543
8.700000,0.982294
8.710000,0.981003
8.720000,0.979671
8.730000,0.978300
8.740000,0.976890
8.750000,0.975441
8.760000,0.973955
8.770000,0.972431
8.780000,0.970872
8.790000,0.969276
8.800000,0.967647
8.810000,0.965983
8.820000,0.964286
8.830000,0.962558
8.840000,0.960798
8.850000,0.959007
8.860000,0.957188
8.870000,0.955339
8.880000,0.953463
8.890000,0.951560
8.900000,0.949631
8.910000,0.947678
8.920000,0.945701
8.930000,0.943700
8.940000,0.941678
8.950000,0.939636
