x,y,z
-0.686831, -0.311705, 0.656584
-0.692993, -0.304456, 0.653503
-0.699009, -0.297056, 0.650496
-0.704874, -0.289507, 0.647563
-0.710588, -0.281814, 0.644706
-0.716146, -0.273979, 0.641927
-0.721546, -0.266008, 0.639227
-0.726785, -0.257903, 0.636607
-0.731861, -0.249670, 0.634069
-0.736771, -0.241312, 0.631614
-0.741513, -0.232833, 0.629243
-0.746084, -0.224237, 0.626958
-0.750482, -0.215530, 0.624759
-0.754704, -0.206715, 0.622648
-0.758750, -0.197796, 0.620625
-0.762616, -0.188779, 0.618692
-0.766300, -0.179667, 0.616850
-0.769802, -0.170465, 0.615099
-0.773118, -0.161178, 0.613441
-0.776248, -0.151811, 0.611876
-0.779190, -0.142367, 0.610405
-0.781943, -0.132853, 0.609029
-0.784504, -0.123272, 0.607748
-0.786873, -0.113629, 0.606564
-0.789049, -0.103930, 0.605476
-0.791030, -0.094178, 0.604485
-0.792815, -0.084380, 0.603592
-0.794405, -0.074539, 0.602798
-0.795797, -0.064661, 0.602102
-0.796991, -0.054751, 0.601505
-0.797987, -0.044814, 0.601007
-0.798783, -0.034853, 0.600608
-0.799381, -0.024876, 0.600310
-0.799778, -0.014886, 0.600111
-0.799976, -0.004889, 0.600012
-0.799974, 0.005111, 0.600013
-0.799772, 0.015108, 0.600114
-0.799370, 0.025098, 0.600315
-0.798768, 0.035075, 0.600616
-0.797967, 0.045035, 0.601017
-0.796967, 0.054972, 0.601517
-0.795768, 0.064881, 0.602116
-0.794372, 0.074759, 0.602814
-0.792778, 0.084598, 0.603611
-0.790988, 0.094396, 0.604506
-0.789002, 0.104146, 0.605499
-0.786822, 0.113844, 0.606589
-0.784449, 0.123486, 0.607775
-0.781883, 0.133065, 0.609058
-0.779127, 0.142578, 0.610437
-0.776181, 0.152020, 0.611910
-0.773047, 0.161386, 0.613477
-0.769726, 0.170671, 0.615137
-0.766220, 0.179870, 0.616890
-0.762532, 0.188980, 0.618734
-0.758662, 0.197995, 0.620669
-0.754612, 0.206912, 0.622694
-0.750386, 0.215725, 0.624807
-0.745984, 0.224430, 0.627008
-0.741410, 0.233022, 0.629295
-0.736664, 0.241499, 0.631668
-0.731750, 0.249854, 0.634125
-0.726671, 0.258085, 0.636665
-0.721428, 0.266186, 0.639286
-0.716024, 0.274155, 0.641988
-0.710463, 0.281986, 0.644769
-0.704746, 0.289677, 0.647627
-0.698876, 0.297222, 0.650562
-0.692858, 0.304619, 0.653571
-0.686693, 0.311864, 0.656654
-0.680384, 0.318953, 0.659808
-0.673936, 0.325882, 0.663032
-0.667350, 0.332648, 0.666325
-0.660631, 0.339248, 0.669685
-0.653781, 0.345679, 0.673109
-0.646805, 0.351936, 0.676598
-0.639705, 0.358018, 0.680147
-0.632485, 0.363921, 0.683757
-0.625149, 0.369641, 0.687425
-0.617701, 0.375177, 0.691150
-0.610144, 0.380525, 0.694928
-0.602481, 0.385683, 0.698759
-0.594717, 0.390649, 0.702641
-0.586857, 0.395419, 0.706572
-0.578902, 0.399991, 0.710549
-0.570858, 0.404363, 0.714571
-0.562729, 0.408533, 0.718636
-0.554518, 0.412499, 0.722741
-0.546230, 0.416258, 0.726885
-0.537869, 0.419810, 0.731065
-0.529439, 0.423151, 0.735280
-0.520945, 0.426281, 0.739528
-0.512390, 0.429198, 0.743805
-0.503778, 0.431900, 0.748111
-0.495115, 0.434386, 0.752443
-0.486404, 0.436655, 0.756798
-0.477650, 0.438706, 0.761175
-0.468857, 0.440538, 0.765571
-0.460030, 0.442149, 0.769985
-0.451173, 0.443539, 0.774414
-0.442290, 0.444707, 0.778855
-0.433386, 0.445653, 0.783307
-0.424465, 0.446376, 0.787767
-0.415533, 0.446876, 0.792234
-0.406592, 0.447153, 0.796704
-0.397648, 0.447206, 0.801176
-0.388705, 0.447035, 0.805647
-0.379768, 0.446641, 0.810116
-0.370841, 0.446024, 0.814579
-0.361929, 0.445183, 0.819036
-0.353035, 0.444120, 0.823482
-0.344165, 0.442835, 0.827917
-0.335323, 0.441329, 0.832338
-0.326514, 0.439602, 0.836743
-0.317741, 0.437655, 0.841130
-0.309009, 0.435489, 0.845496
-0.300323, 0.433106, 0.849839
-0.291686, 0.430506, 0.854157
-0.283104, 0.427690, 0.858448
-0.274580, 0.424661, 0.862710
-0.266119, 0.421420, 0.866941
-0.257724, 0.417968, 0.871138
-0.249401, 0.414307, 0.875299
-0.241154, 0.410438, 0.879423
-0.232985, 0.406365, 0.883507
-0.224900, 0.402088, 0.887550
-0.216903, 0.397611, 0.891549
-0.208997, 0.392934, 0.895501
-0.201187, 0.388061, 0.899407
-0.193476, 0.382995, 0.903262
-0.185868, 0.377736, 0.907066
-0.178368, 0.372289, 0.910816
-0.170978, 0.366655, 0.914511
-0.163703, 0.360839, 0.918149
-0.156546, 0.354842, 0.921727
-0.149510, 0.348667, 0.925245
-0.142600, 0.342318, 0.928700
-0.135819, 0.335798, 0.932091
-0.129169, 0.329110, 0.935415
-0.122655, 0.322258, 0.938672
-0.116280, 0.315244, 0.941860
-0.110047, 0.308073, 0.944977
-0.103958, 0.300748, 0.948021
-0.098018, 0.293272, 0.950991
-0.092228, 0.285650, 0.953886
-0.086593, 0.277885, 0.956704
-0.081114, 0.269981, 0.959443
-0.075794, 0.261942, 0.962103
-0.070637, 0.253772, 0.964681
-0.065644, 0.245475, 0.967178
-0.060819, 0.237055, 0.969591
-0.056163, 0.228517, 0.971918
-0.051679, 0.219865, 0.974160
-0.047369, 0.211103, 0.976315
-0.043236, 0.202235, 0.978382
-0.039280, 0.193266, 0.980360
-0.035506, 0.184200, 0.982247
-0.031913, 0.175043, 0.984043
-0.028505, 0.165798, 0.985748
-0.025282, 0.156470, 0.987359
-0.022246, 0.147063, 0.988877
-0.019400, 0.137583, 0.990300
-0.016743, 0.128035, 0.991628
-0.014279, 0.118422, 0.992861
-0.012007, 0.108750, 0.993997
-0.009929, 0.099024, 0.995035
-0.008046, 0.089249, 0.995977
-0.006359, 0.079428, 0.996820
-0.004869, 0.069568, 0.997565
-0.003577, 0.059673, 0.998212
-0.002483, 0.049749, 0.998759
-0.001587, 0.039799, 0.999206
-0.000891, 0.029830, 0.999555
-0.000394, 0.019845, 0.999803
-0.000097, 0.009851, 0.999951
-0.000000, -0.000148, 1.000000
-0.000103, -0.010147, 0.999949
-0.000406, -0.020141, 0.999797
-0.000909, -0.030125, 0.999546
-0.001611, -0.040094, 0.999195
-0.002512, -0.050043, 0.998744
-0.003612, -0.059967, 0.998194
-0.004911, -0.069861, 0.997545
-0.006407, -0.079720, 0.996797
-0.008099, -0.089539, 0.995950
-0.009988, -0.099313, 0.995006
-0.012071, -0.109038, 0.993964
-0.014349, -0.118708, 0.992826
-0.016819, -0.128319, 0.991590
-0.019481, -0.137866, 0.990259
-0.022334, -0.147343, 0.988833
-0.025375, -0.156747, 0.987313
-0.028603, -0.166073, 0.985699
-0.032017, -0.175316, 0.983992
-0.035615, -0.184471, 0.982193
-0.039395, -0.193533, 0.980302
-0.043356, -0.202499, 0.978322
-0.047494, -0.211364, 0.976253
-0.051809, -0.220123, 0.974095
-0.056299, -0.228772, 0.971851
-0.060960, -0.237307, 0.969520
-0.065790, -0.245723, 0.967105
-0.070788, -0.254016, 0.964606
-0.075950, -0.262182, 0.962025
-0.081274, -0.270217, 0.959363
-0.086758, -0.278117, 0.956621
-0.092398, -0.285878, 0.953801
-0.098192, -0.293496, 0.950904
-0.104137, -0.300967, 0.947932
-0.110229, -0.308288, 0.944885
-0.116467, -0.315454, 0.941766
-0.122847, -0.322463, 0.938577
-0.129365, -0.329311, 0.935318
-0.136018, -0.335994, 0.931991
-0.142803, -0.342509, 0.928598
-0.149717, -0.348853, 0.925141
-0.156756, -0.355022, 0.921622
-0.163917, -0.361014, 0.918042
-0.171196, -0.366825, 0.914402
-0.178589, -0.372453, 0.910706
-0.186092, -0.377895, 0.906954
-0.193703, -0.383148, 0.903148
-0.201417, -0.388209, 0.899291
-0.209230, -0.393076, 0.895385
-0.217139, -0.397746, 0.891431
-0.225139, -0.402218, 0.887431
-0.233226, -0.406489, 0.883387
-0.241397, -0.410556, 0.879302
-0.249647, -0.414418, 0.875176
-0.257972, -0.418073, 0.871014
-0.266369, -0.421519, 0.866816
-0.274832, -0.424754, 0.862584
-0.283357, -0.427777, 0.858321
-0.291941, -0.430586, 0.854029
-0.300579, -0.433179, 0.849710
-0.309267, -0.435556, 0.845366
-0.318000, -0.437716, 0.841000
-0.326774, -0.439656, 0.836613
-0.335585, -0.441377, 0.832208
-0.344428, -0.442877, 0.827786
-0.353298, -0.444155, 0.823351
-0.362193, -0.445211, 0.818904
-0.371105, -0.446045, 0.814447
-0.380033, -0.446656, 0.809984
-0.388970, -0.447044, 0.805515
-0.397913, -0.447208, 0.801043
-0.406857, -0.447148, 0.796571
-0.415798, -0.446865, 0.792101
-0.424730, -0.446358, 0.787635
-0.433650, -0.445628, 0.783175
-0.442554, -0.444676, 0.778723
-0.451436, -0.443501, 0.774282
-0.460292, -0.442104, 0.769854
-0.469119, -0.440486, 0.765441
-0.477910, -0.438648, 0.761045
-0.486663, -0.436591, 0.756668
-0.495372, -0.434316, 0.752314
-0.504034, -0.431823, 0.747983
-0.512644, -0.429114, 0.743678
-0.521197, -0.426191, 0.739401
-0.529690, -0.423055, 0.735155
-0.538118, -0.419707, 0.730941
-0.546477, -0.416150, 0.726761
-0.554763, -0.412384, 0.722619
-0.562971, -0.408412, 0.718514
-0.571098, -0.404236, 0.714451
-0.579139, -0.399858, 0.710430
-0.587091, -0.395280, 0.706455
-0.594949, -0.390504, 0.702525
-0.602710, -0.385533, 0.698645
-0.610369, -0.380370, 0.694815
-0.617923, -0.375016, 0.691038
-0.625368, -0.369474, 0.687316
-0.632701, -0.363748, 0.683649
-0.639917, -0.357840, 0.680041
-0.647013, -0.351753, 0.676493
-0.653986, -0.345491, 0.673007
-0.660832, -0.339055, 0.669584
-0.667547, -0.332450, 0.666226
-0.674129, -0.325679, 0.662936
-0.680573, -0.318745, 0.659713
-0.686878, -0.311651, 0.656561
-0.693038, -0.304402, 0.653481
-0.699053, -0.297001, 0.650474
-0.704917, -0.289451, 0.647541
-0.710630, -0.281756, 0.644685
-0.716187, -0.273921, 0.641907
-0.721586, -0.265948, 0.639207
-0.726824, -0.257843, 0.636588
-0.731898, -0.249608, 0.634051
-0.736807, -0.241249, 0.631596
-0.741548, -0.232769, 0.629226
-0.746117, -0.224173, 0.626941
-0.750514, -0.215465, 0.624743
-0.754735, -0.206649, 0.622632
-0.758779, -0.197730, 0.620610
-0.762644, -0.188711, 0.618678
-0.766327, -0.179599, 0.616837
-0.769827, -0.170397, 0.615087
-0.773142, -0.161109, 0.613429
-0.776271, -0.151741, 0.611865
-0.779211, -0.142297, 0.610394
-0.781962, -0.132782, 0.609019
-0.784522, -0.123201, 0.607739
-0.786890, -0.113558, 0.606555
-0.789064, -0.103858, 0.605468
-0.791044, -0.094106, 0.604478
-0.792828, -0.084307, 0.603586
-0.794416, -0.074466, 0.602792
-0.795806, -0.064588, 0.602097
-0.796999, -0.054678, 0.601500
-0.797993, -0.044740, 0.601003
-0.798789, -0.034780, 0.600606
-0.799384, -0.024802, 0.600308
-0.799781, -0.014812, 0.600110
-0.799977, -0.004815, 0.600012
-0.799973, 0.005185, 0.600013
-0.799769, 0.015182, 0.600115
-0.799366, 0.025172, 0.600317
-0.798763, 0.035149, 0.600619
-0.797960, 0.045108, 0.601020
-0.796958, 0.055045, 0.601521
-0.795758, 0.064955, 0.602121
-0.794360, 0.074832, 0.602820
-0.792765, 0.084671, 0.603617
-0.790974, 0.094468, 0.604513
-0.788987, 0.104218, 0.605507
-0.786806, 0.113916, 0.606597
-0.784431, 0.123557, 0.607785
-0.781864, 0.133136, 0.609068
-0.779106, 0.142648, 0.610447
-0.776158, 0.152090, 0.611921
-0.773023, 0.161455, 0.613489
-0.769701, 0.170739, 0.615150
-0.766194, 0.179938, 0.616903
-0.762504, 0.189047, 0.618748
-0.758632, 0.198062, 0.620684
-0.754582, 0.206977, 0.622709
-0.750354, 0.215790, 0.624823
-0.745951, 0.224494, 0.627025
-0.741375, 0.233086, 0.629313
-0.736628, 0.241561, 0.631686
-0.731713, 0.249916, 0.634143
-0.726633, 0.258145, 0.636684
-0.721388, 0.266246, 0.639306
-0.715984, 0.274213, 0.642008
-0.710421, 0.282044, 0.644790
-0.704703, 0.289733, 0.647649
-0.698832, 0.297278, 0.650584
-0.692813, 0.304674, 0.653594
-0.686646, 0.311917, 0.656677
-0.680337, 0.319005, 0.659831
-0.673887, 0.325933, 0.663056
-0.667301, 0.332698, 0.666350
-0.660581, 0.339297, 0.669710
-0.653730, 0.345726, 0.673135
-0.646753, 0.351982, 0.676624
-0.639652, 0.358062, 0.680174
-0.632431, 0.363964, 0.683784
-0.625095, 0.369683, 0.687453
-0.617645, 0.375217, 0.691177
-0.610087, 0.380564, 0.694956
-0.602424, 0.385721, 0.698788
-0.594660, 0.390685, 0.702670
-0.586798, 0.395453, 0.706601
-0.578843, 0.400024, 0.710579
-0.570798, 0.404395, 0.714601
-0.562668, 0.408563, 0.718666
-0.554457, 0.412527, 0.722771
-0.546169, 0.416285, 0.726916
-0.537807, 0.419835, 0.731096
-0.529377, 0.423175, 0.735312
-0.520881, 0.426303, 0.739559
-0.512326, 0.429219, 0.743837
-0.503714, 0.431919, 0.748143
-0.495051, 0.434404, 0.752475
-0.486339, 0.436671, 0.756830
-0.477585, 0.438720, 0.761207
-0.468792, 0.440550, 0.765604
-0.459965, 0.442160, 0.770018
-0.451107, 0.443548, 0.774446
-0.442224, 0.444715, 0.778888
-0.433320, 0.445659, 0.783340
-0.424399, 0.446381, 0.787800
-0.415466, 0.446879, 0.792267
-0.406526, 0.447154, 0.796737
-0.397582, 0.447205, 0.801209
-0.388639, 0.447033, 0.805681
-0.379702, 0.446637, 0.810149
